"jump.times","SpeciesmRNA","SpeciesProtein"
1.40181918483058,512,44
1.40311477051426,512,45
1.40434183722375,512,44
1.41125599630799,511,44
1.41247426507951,510,44
1.41475976814671,509,44
1.41908933368578,508,44
1.41958679296528,508,43
1.42063778045731,508,42
1.42627550097246,507,42
1.44563918723028,507,41
1.44795747261752,507,42
1.45929667216022,506,42
1.46733632720514,505,42
1.46830976795191,504,42
1.46914379015762,503,42
1.47002473414938,502,42
1.47253300109294,501,42
1.47918511159966,500,42
1.48008238129426,499,42
1.48096299396307,498,42
1.48209062086748,497,42
1.48248607667709,496,42
1.48384809730873,495,42
1.48665519754672,495,41
1.48755346999022,494,41
1.49078503929737,493,41
1.49421339610527,492,41
1.50141277639607,492,42
1.50142009165193,491,42
1.50475464523144,490,42
1.50923549949142,490,43
1.51232681102895,489,43
1.51310188055941,488,43
1.51384100192043,487,43
1.51523153680848,486,43
1.52032504621083,485,43
1.52163064351958,485,42
1.52167295593832,484,42
1.53317338191682,484,41
1.5349422521853,483,41
1.53500262128141,482,41
1.53628975306575,481,41
1.55099583735651,480,41
1.55222294537697,479,41
1.55250065582382,479,42
1.55316658924814,478,42
1.55651059504003,477,42
1.55905178977872,476,42
1.5612347512642,475,42
1.56607779603187,474,42
1.56682853722623,473,42
1.5684045300382,473,41
1.57001252137052,473,40
1.57221804652762,472,40
1.57486284318922,471,40
1.57592154797399,470,40
1.58591000296447,469,40
1.58767294038367,468,40
1.58981776736319,467,40
1.5913029379829,466,40
1.59255501932155,465,40
1.59270070802296,464,40
1.59543529200871,464,41
1.59795529721164,463,41
1.60230035807798,463,40
1.60591618629014,462,40
1.61446486120358,462,41
1.61713762878803,461,41
1.62105305137143,460,41
1.62157299735628,459,41
1.62567111405126,458,41
1.62739221534747,457,41
1.63085167767977,457,40
1.63588721586529,456,40
1.63842442756265,455,40
1.63914319828879,454,40
1.64098751627969,453,40
1.64142419321975,453,39
1.64354658365632,452,39
1.64380985797353,451,39
1.64584342617111,451,40
1.6466760232618,450,40
1.64981901972535,450,41
1.6532302690771,449,41
1.66117968591187,448,41
1.66305068964561,447,41
1.66305272866389,446,41
1.66613225659644,445,41
1.67926000261575,444,41
1.68170776279632,443,41
1.68297326379594,442,41
1.68665861463446,441,41
1.69708760270747,440,41
1.70263002175435,439,41
1.70542561275547,439,40
1.70696470322099,438,40
1.71481397180464,437,40
1.71943853342665,437,41
1.72315659341232,437,42
1.72475804839214,436,42
1.73838226706724,436,43
1.73988043468558,435,43
1.7448637223583,434,43
1.74665440258046,433,43
1.7485536961643,432,43
1.75743233472262,431,43
1.75878926641955,430,43
1.76554758366486,430,42
1.76729859659913,429,42
1.76826439811949,428,42
1.7778033480594,428,41
1.78709556175237,428,40
1.78828940874212,428,41
1.79303102783512,427,41
1.79759700744788,426,41
1.79862851741116,425,41
1.79872722456393,425,40
1.80191133723556,424,40
1.80508878958293,423,40
1.80672680632049,422,40
1.80862007807931,421,40
1.8102391849053,420,40
1.8150412566901,419,40
1.82240373159721,418,40
1.82338425902258,417,40
1.83594640548597,416,40
1.84319050001436,415,40
1.84735663340281,415,39
1.85116711272266,414,39
1.8546810567712,414,38
1.85589128824568,413,38
1.8630659239566,412,38
1.8653447140187,411,38
1.8684815957455,410,38
1.8720874170375,409,38
1.8738046213739,408,38
1.87671247956336,407,38
1.87812233376363,406,38
1.88019328705464,405,38
1.88273291999555,404,38
1.88495831745414,403,38
1.88925290397276,402,38
1.89146493369316,402,39
1.89810282616214,401,39
1.9122239709549,401,40
1.91313355886897,400,40
1.92285437927479,399,40
1.92402845217478,398,40
1.9261184928731,398,41
1.92720711692518,397,41
1.92927965158379,396,41
1.92986761749943,395,41
1.93449820581293,394,41
1.94533805367063,393,41
1.94590230182114,392,41
1.9593830728671,392,40
1.96448204665741,391,40
1.96733306078666,390,40
1.97797206657798,389,40
1.98053396707831,388,40
1.99002160720088,388,41
1.99033690628523,387,41
2.0105507096107,386,41
2.01438594548184,385,41
2.01875998922213,385,42
2.02267742685218,384,42
2.02318513595702,383,42
2.02840325007857,382,42
2.02853295169367,382,43
2.03126871387564,381,43
2.04075686064986,380,43
2.04275800159822,379,43
2.04808468131861,379,42
2.04970015495052,378,42
2.0498399327685,378,41
2.05725843878261,377,41
2.05739252608659,377,40
2.05887934065108,376,40
2.06938024891258,376,39
2.08148840604793,375,39
2.08803211056495,374,39
2.08860979900094,373,39
2.09494359239351,373,38
2.09524238919828,372,38
2.10674833383156,371,38
2.11328392127319,370,38
2.11813821927878,369,38
2.11911137436201,368,38
2.12889380239866,367,38
2.13099064772504,366,38
2.1412180117149,365,38
2.14812534195361,365,37
2.16055058995785,365,38
2.16478288880827,365,37
2.17725108822211,364,37
2.19110252930166,363,37
2.19214707602623,363,36
2.19652365889616,362,36
2.19731363351561,361,36
2.19854293283337,361,37
2.19865532322231,360,37
2.20832108391161,359,37
2.20939545288265,358,37
2.21097687367409,357,37
2.21105272194152,356,37
2.21252212395393,355,37
2.22895426709507,354,37
2.23809756599609,353,37
2.24441450211885,352,37
2.24680011985887,352,38
2.25160809349876,351,38
2.26203787544874,351,37
2.2711601373987,350,37
2.2728993483077,349,37
2.2769265909982,349,38
2.27968330725621,348,38
2.28987591350621,348,37
2.29375343384483,347,37
2.29648338488972,346,37
2.30518243737783,346,36
2.30924866384234,345,36
2.31298974198718,344,36
2.31305895470007,343,36
2.31578100900987,342,36
2.32368509390734,341,36
2.32869268165616,340,36
2.33249468619301,340,37
2.3439449333635,339,37
2.34705418238569,338,37
2.34736410291902,338,36
2.35209290762813,337,36
2.35642107171382,336,36
2.36420416767572,335,36
2.36840742407067,334,36
2.37091952924102,334,35
2.37204283603235,333,35
2.3775961161153,332,35
2.37987376150138,331,35
2.38003277399399,331,36
2.38189732591569,330,36
2.38227527377058,329,36
2.38330410802162,329,37
2.38428079915051,329,36
2.39476849411307,328,36
2.39690926069002,327,36
2.3984691834836,326,36
2.40382835252489,325,36
2.41544821834397,324,36
2.41879348626716,324,35
2.41999214962792,324,36
2.42098123772022,323,36
2.42213841304142,322,36
2.42707405517467,321,36
2.43249602547453,321,35
2.43255734490326,320,35
2.4367268587477,320,36
2.43957102478354,319,36
2.44131409753823,319,35
2.44542239026308,318,35
2.44809446125625,318,36
2.45057217609909,318,35
2.46164961001149,317,35
2.4627267698141,317,34
2.4653125512851,316,34
2.46575739594775,316,33
2.46747760614764,315,33
2.4696309128562,315,34
2.47215622654479,314,34
2.47306985962488,314,33
2.48031720929086,314,32
2.48448232537841,314,33
2.48615370940779,314,32
2.49166041805548,313,32
2.49394690462807,312,32
2.50017487953232,311,32
2.5007332712585,310,32
2.50383184580817,309,32
2.51186227340413,308,32
2.52265020269565,307,32
2.53302968177836,307,33
2.53454024567042,306,33
2.53913947507278,306,34
2.54045752072351,306,35
2.54123964536925,306,36
2.55124103104527,305,36
2.5592668850467,304,36
2.56527186618165,303,36
2.57146716345265,303,37
2.57302772884743,302,37
2.58921205399258,301,37
2.58995598810245,301,36
2.59672445969577,300,36
2.6015898024615,300,37
2.60484016330571,299,37
2.60692889903763,298,37
2.61390532685438,297,37
2.61399368809944,296,37
2.62370932702064,295,37
2.62380324370263,294,37
2.63144034735123,293,37
2.63408516492361,293,38
2.63664382119408,292,38
2.63789293510469,292,37
2.63820418769386,292,38
2.64135067029578,292,39
2.64590844059548,291,39
2.64755555257076,290,39
2.64892849874311,289,39
2.65169747302025,288,39
2.66826356129756,287,39
2.67361124052862,286,39
2.67565048645282,285,39
2.68086383116023,285,38
2.6826548860402,284,38
2.68834525121301,283,38
2.69139361401056,282,38
2.69337843590108,281,38
2.72150085981323,280,38
2.72986881529485,280,39
2.73094567798492,279,39
2.74373256167891,279,40
2.75316819607628,278,40
2.77403574417604,278,39
2.77558624987388,277,39
2.7945679801235,276,39
2.79564376216936,275,39
2.79615479751596,275,38
2.79622177876131,275,37
2.79865969214024,275,38
2.80463174242136,274,38
2.80708854931979,273,38
2.82128672690705,273,37
2.82490136078531,272,37
2.83574962055831,272,38
2.83743231199015,271,38
2.84044396072447,270,38
2.86533792187702,269,38
2.8704051299472,268,38
2.87265122242466,267,38
2.87682157930798,267,37
2.8779187416333,266,37
2.8849949848286,265,37
2.8909037018102,264,37
2.89619125348474,263,37
2.89934900924246,262,37
2.90943156435851,262,36
2.9099061464511,262,37
2.91723877609353,262,38
2.92451160355958,261,38
2.93082752589149,260,38
2.93149976013204,259,38
2.93596450674945,258,38
2.93729669788341,257,38
2.94324875068471,256,38
2.96276321176829,255,38
2.9640243264916,254,38
2.96655505421122,253,38
2.96838223896991,253,37
2.97685620097888,252,37
2.97769567431548,251,37
2.97948915781446,251,36
2.98360837134699,250,36
2.98869969005305,249,36
2.99234867751677,248,36
3.00034629906518,248,35
3.00319627962925,248,34
3.01486577035187,248,33
3.02372376711875,247,33
3.03065899802805,246,33
3.03315149154981,245,33
3.03658077443514,245,32
3.03978287110798,244,32
3.03990472969423,243,32
3.04008153641164,242,32
3.04294073433391,241,32
3.04392771945861,240,32
3.05916975216997,239,32
3.06029055247795,238,32
3.06212173687803,237,32
3.07089469089065,236,32
3.07651975831473,236,33
3.07844045380384,235,33
3.08692963979259,234,33
3.09533003493182,233,33
3.09592862923618,232,33
3.09725916471087,232,32
3.11793286563398,231,32
3.12020280922017,230,32
3.12582826006699,229,32
3.13169952298567,228,32
3.13818355665165,228,33
3.14858804850378,228,32
3.15009123362745,227,32
3.15195131385536,227,31
3.15583922495592,226,31
3.15780071044546,225,31
3.17640350904215,224,31
3.17950795109035,224,32
3.18101075829161,223,32
3.20243381504181,223,33
3.20250613456029,222,33
3.20486322339261,222,32
3.21171666487698,221,32
3.22455765232183,221,33
3.22829464444402,221,32
3.2311397965414,220,32
3.23800564336525,219,32
3.24560331851467,218,32
3.24811647869524,218,31
3.25319725341216,218,32
3.25739858107999,217,32
3.26542621546833,216,32
3.27672771995491,215,32
3.28773961503237,215,33
3.28912369151638,214,33
3.29217241468255,214,32
3.29497869981918,213,32
3.2961639636994,212,32
3.29623900638014,211,32
3.3037969577677,211,31
3.30453728414989,210,31
3.30826915646399,210,32
3.30962486156916,209,32
3.31158370094214,209,33
3.32788739935367,208,33
3.33089091546619,207,33
3.34297884558753,207,34
3.34471801001898,206,34
3.34643646664275,205,34
3.34686460942639,204,34
3.34839642475586,203,34
3.36065569571385,203,35
3.36222191199282,202,35
3.37084114137104,202,34
3.37537289039222,201,34
3.38368721490983,200,34
3.3860408600787,199,34
3.3916989812843,198,34
3.40382519211793,198,33
3.40723043487769,197,33
3.4081740492039,196,33
3.41705415713233,195,33
3.41822560556416,194,33
3.41844204198359,193,33
3.41936425131879,192,33
3.42052741618097,191,33
3.42958410209566,190,33
3.4358302166756,189,33
3.43981766648515,188,33
3.44064711025895,187,33
3.44430239294204,187,32
3.44495906637758,186,32
3.47941704152474,186,33
3.4833475842791,186,32
3.49267561444525,185,32
3.49764079504258,184,32
3.51161070467858,183,32
3.51163198454994,182,32
3.51196478584751,181,32
3.5207522743851,180,32
3.52857637716795,179,32
3.52963800815564,178,32
3.53126691351988,177,32
3.53970602990616,176,32
3.5406044149907,175,32
3.54079825451466,175,33
3.54319345280043,175,32
3.54611344429762,174,32
3.54687569680824,174,33
3.55973590314562,173,33
3.56362158849787,172,33
3.56894589280989,172,32
3.57331158353219,171,32
3.57406689112411,171,31
3.59123792568079,170,31
3.59745519338966,170,32
3.60469547688868,170,31
3.62103155565647,169,31
3.62483706319656,168,31
3.63588402764834,167,31
3.64161910517919,167,30
3.65803695388358,166,30
3.67320095578349,165,30
3.67326954497381,164,30
3.67359948208675,163,30
3.67563261001726,163,31
3.69427902580338,162,31
3.69794931679442,162,30
3.70039769945152,162,29
3.70081165695275,162,28
3.70310618212534,161,28
3.70794374604107,160,28
3.71989940467748,160,27
3.7414472237988,159,27
3.74474606923965,159,28
3.75344266184664,158,28
3.75687619131045,158,29
3.75770946097274,158,30
3.75776114854491,157,30
3.77892401712575,156,30
3.78241199603521,156,29
3.7852469160187,155,29
3.81603998858657,154,29
3.82434524068466,153,29
3.82924661284259,152,29
3.84408879045814,152,28
3.85283604971226,151,28
3.85727886113902,151,27
3.85987419229489,150,27
3.86171272211431,149,27
3.8890691704378,149,26
3.89665159111915,148,26
3.90433881503609,148,25
3.92324650491056,148,26
3.93475767171804,147,26
3.93611367613277,146,26
3.93812721260992,145,26
3.93889966795084,145,25
3.95497980128358,145,24
3.95510363614998,144,24
3.9811383038705,143,24
3.98904401095804,142,24
3.99176764645662,141,24
3.99366948408186,140,24
3.99917327930221,139,24
4.01884976576854,138,24
4.0284326515925,137,24
4.0315502711629,136,24
4.04758366521716,136,23
4.04775867615956,135,23
4.05363076133337,134,23
4.06310015693881,134,24
4.1184092311352,133,24
4.11862534528911,133,25
4.13019109225032,132,25
4.15700033508003,132,24
4.16788859102709,131,24
4.1697698573415,130,24
4.19395331243409,129,24
4.2131785564272,128,24
4.21431159233713,127,24
4.21666059139481,126,24
4.22169059819402,126,23
4.23029800512014,126,24
4.24597071969422,125,24
4.27054750154131,124,24
4.27637171742449,124,23
4.28744366386615,124,22
4.31271715240341,124,21
4.3410840488947,123,21
4.34806285918612,123,20
4.34901582879091,122,20
4.36262678533202,121,20
4.36355926829392,120,20
